,din_instante,val_geracao,Estacao
0,2018-01-01,417.169,Verão
1,2018-01-02,417.169,Verão
2,2018-01-03,417.169,Verão
3,2018-01-04,417.169,Verão
4,2018-01-05,417.169,Verão
5,2018-01-06,417.169,Verão
6,2018-01-07,417.169,Verão
7,2018-01-08,417.169,Verão
8,2018-01-09,417.169,Verão
9,2018-01-10,417.169,Verão
10,2018-01-11,417.169,Verão
11,2018-01-12,417.169,Verão
12,2018-01-13,417.169,Verão
13,2018-01-14,417.169,Verão
14,2018-01-15,417.169,Verão
15,2018-01-16,417.169,Verão
16,2018-01-17,417.169,Verão
17,2018-01-18,417.169,Verão
18,2018-01-19,417.169,Verão
19,2018-01-20,417.169,Verão
20,2018-01-21,417.169,Verão
21,2018-01-22,417.169,Verão
22,2018-01-23,417.169,Verão
23,2018-01-24,417.169,Verão
24,2018-01-25,417.169,Verão
25,2018-01-26,417.169,Verão
26,2018-01-27,417.169,Verão
27,2018-01-28,417.169,Verão
28,2018-01-29,417.169,Verão
29,2018-01-30,417.169,Verão
30,2018-01-31,417.169,Verão
31,2018-02-01,417.169,Verão
32,2018-02-02,417.169,Verão
33,2018-02-03,417.169,Verão
34,2018-02-04,417.169,Verão
35,2018-02-05,417.169,Verão
36,2018-02-06,417.169,Verão
37,2018-02-07,417.169,Verão
38,2018-02-08,417.169,Verão
39,2018-02-09,417.169,Verão
40,2018-02-10,417.169,Verão
41,2018-02-11,417.169,Verão
42,2018-02-12,417.169,Verão
43,2018-02-13,417.169,Verão
44,2018-02-14,417.169,Verão
45,2018-02-15,417.169,Verão
46,2018-02-16,417.169,Verão
47,2018-02-17,417.169,Verão
48,2018-02-18,417.169,Verão
49,2018-02-19,417.169,Verão
50,2018-02-20,417.169,Verão
51,2018-02-21,417.169,Verão
52,2018-02-22,417.169,Verão
53,2018-02-23,417.169,Verão
54,2018-02-24,417.169,Verão
55,2018-02-25,475.154,Verão
56,2018-02-26,449.4506666666667,Verão
57,2018-02-27,423.7473333333333,Verão
58,2018-02-28,398.044,Verão
59,2018-03-01,449.129,Verão
60,2018-03-02,402.80400000000003,Verão
61,2018-03-03,443.012,Verão
62,2018-03-04,497.877,Verão
63,2018-03-05,454.081,Verão
64,2018-03-06,399.064,Verão
65,2018-03-07,404.524,Verão
66,2018-03-08,358.556,Verão
67,2018-03-09,449.984,Verão
68,2018-03-10,357.512,Verão
69,2018-03-11,409.748,Verão
70,2018-03-12,421.2033333333333,Verão
71,2018-03-13,432.6586666666667,Verão
72,2018-03-14,444.11400000000003,Verão
73,2018-03-15,429.298,Verão
74,2018-03-16,362.217,Verão
75,2018-03-17,500.44,Verão
76,2018-03-18,565.6659999999999,Verão
77,2018-03-19,500.636,Verão
78,2018-03-20,459.882,Verão
79,2018-03-21,563.331,Outono
80,2018-03-22,515.967,Outono
81,2018-03-23,602.891,Outono
82,2018-03-24,636.106,Outono
83,2018-03-25,494.881,Outono
84,2018-03-26,483.86249999999995,Outono
85,2018-03-27,472.844,Outono
86,2018-03-28,536.093,Outono
87,2018-03-29,679.172,Outono
88,2018-03-30,679.399,Outono
89,2018-03-31,608.3116666666667,Outono
90,2018-04-01,537.2243333333333,Outono
91,2018-04-02,466.137,Outono
92,2018-04-03,449.826,Outono
93,2018-04-04,502.761,Outono
94,2018-04-05,559.727,Outono
95,2018-04-06,640.008,Outono
96,2018-04-07,658.944,Outono
97,2018-04-08,601.442,Outono
98,2018-04-09,537.161,Outono
99,2018-04-10,647.692,Outono
100,2018-04-11,655.344,Outono
101,2018-04-12,561.427,Outono
102,2018-04-13,708.48,Outono
103,2018-04-14,572.141,Outono
104,2018-04-15,432.994,Outono
105,2018-04-16,652.0749999999999,Outono
106,2018-04-17,696.213,Outono
107,2018-04-18,648.073,Outono
108,2018-04-19,609.048,Outono
109,2018-04-20,657.057,Outono
110,2018-04-21,785.634,Outono
